DATE,PRODUCT_LINE,REVENUE,COGS,FORECASTED_REVENUE
2023-01-01,Electrodomesticos,3333.22,2708.71,3420.39
2023-01-01,Ropa,40.31,2168.92,4885.3
2023-01-01,Ferreteria,7994.96,2024.65,2206.83
2023-01-01,Jugueteria,2236.36,6.24,1062.44
2023-01-01,Oficina,1883.29,707.32,3916.47
2023-01-02,Electrodomesticos,648.75,1223.21,4219.6
2023-01-02,Ropa,4897.83,3430.02,3589.23
2023-01-02,Ferreteria,571.5,1578.78,5879.25
2023-01-02,Jugueteria,3255.95,688.16,926.1
2023-01-02,Oficina,7777.86,2424.76,2113.68
2023-01-03,Electrodomesticos,6913.93,693.61,2614.75
2023-01-03,Ropa,3307.92,4650.51,1513.54
2023-01-03,Ferreteria,308.97,43.96,4523.95
2023-01-03,Jugueteria,2890.18,363.68,562.29
2023-01-03,Oficina,2606.63,1938.38,6380.08
2023-01-04,Electrodomesticos,1767.13,1608.1,178.06
2023-01-04,Ropa,4295.6,2614.7,2345.1
2023-01-04,Ferreteria,3452.42,1610.72,4461.69
2023-01-04,Jugueteria,1393.7,2126.19,2636.08
2023-01-04,Oficina,4539.98,1013.11,5089.15
2023-01-05,Electrodomesticos,844.37,389.06,199.22
2023-01-05,Ropa,2044.57,2818.34,10162.44
2023-01-05,Ferreteria,99.12,1423.66,406.97
2023-01-05,Jugueteria,6554.93,254.97,1708.27
2023-01-05,Oficina,4693.56,2773.3,1748.17
2023-01-06,Electrodomesticos,1862.37,5511.62,41.75
2023-01-06,Ropa,4421.12,735.48,346.91
2023-01-06,Ferreteria,7596.71,601.42,6709.53
2023-01-06,Jugueteria,271.21,147.67,5253.36
2023-01-06,Oficina,2307.53,1890.39,4705.64
2023-01-07,Electrodomesticos,7108.52,5160.33,9613.4
2023-01-07,Ropa,5050.95,236.22,637
2023-01-07,Ferreteria,1058.14,1072.87,2917.61
2023-01-07,Jugueteria,156.77,167.1,54.24
2023-01-07,Oficina,1001.49,56.08,513.44
2023-01-08,Electrodomesticos,8.19,1985.74,1191.33
2023-01-08,Ropa,879.86,3677.48,6841.66
