DATE,SALES_REGION,REVENUE,COGS,FORECASTED_REVENUE
2023-01-01,Zona Norte,9456.72,118.26,2636.7
2023-01-01,Zona Occidente,2001.17,2427.49,1078.47
2023-01-01,Zona Llanos,2377.24,2794.91,1783.86
2023-01-01,Zona Sur,765.82,73.71,9393.56
2023-01-01,Zona Oriente,887.19,2201.47,598.84
2023-01-02,Zona Norte,1393.2,4840.11,1384.24
2023-01-02,Zona Occidente,4606.57,1913.75,356.68
2023-01-02,Zona Llanos,1020.62,620.68,7029.74
2023-01-02,Zona Sur,6141.34,1547.6,4293.92
2023-01-02,Zona Oriente,3990.16,422.79,3663.28
2023-01-03,Zona Norte,4008.33,2298.06,61.07
2023-01-03,Zona Occidente,300.3,1562.07,5671.59
2023-01-03,Zona Llanos,8821.87,2326.3,3240.09
2023-01-03,Zona Sur,1947.88,1144.85,2993.35
2023-01-03,Zona Oriente,949.25,358.86,3628.51
2023-01-04,Zona Norte,2019.54,1325.19,2422.33
2023-01-04,Zona Occidente,7723.04,1573.55,242.39
2023-01-04,Zona Llanos,3445.1,2746.69,5742.43
2023-01-04,Zona Sur,1208.29,811.79,4380.52
2023-01-04,Zona Oriente,1052.86,2515.6,1922.41
2023-01-05,Zona Norte,4153.14,507.73,698.95
2023-01-05,Zona Occidente,356.77,2759.81,2.25
2023-01-05,Zona Llanos,1744.65,2441,1346.54
2023-01-05,Zona Sur,2498.9,238.81,1828.51
2023-01-05,Zona Oriente,5483.09,1711.98,10348.82
2023-01-06,Zona Norte,1741.43,174.07,936.71
2023-01-06,Zona Occidente,6946.72,6568.41,610.91
2023-01-06,Zona Llanos,6749.82,782.6,3649.64
2023-01-06,Zona Sur,86.91,38.66,9130.18
2023-01-06,Zona Oriente,934.06,1322.84,2729.75
2023-01-07,Zona Norte,4757.86,130.76,2681.57
2023-01-07,Zona Occidente,3077.08,1059.03,5438.77
2023-01-07,Zona Llanos,125.84,1321.19,3891.83
2023-01-07,Zona Sur,2001.53,1973.02,264.59
2023-01-07,Zona Oriente,4413.56,2208.6,1458.93
2023-01-08,Zona Norte,14068.13,693.52,272.12
2023-01-08,Zona Occidente,680.74,829.35,1297.59
2023-01-08,Zona Llanos,486.74,6870.22,10347.33
2023-01-08,Zona Sur,1330.89,1065.78,1343.84
2023-01-08,Zona Oriente,2351.23,971.53,5749.09
2023-01-09,Zona Norte,10685.82,4914.82,2807.79
2023-01-09,Zona Occidente,4379.11,392.79,501.15
2023-01-09,Zona Llanos,2537.51,1217.01,7245.6
2023-01-09,Zona Sur,51.25,1258.33,177.34
2023-01-09,Zona Oriente,1982.94,2569.72,7402.08
2023-01-10,Zona Norte,1061,533,314.55
2023-01-10,Zona Occidente,2789.73,1854.84,6017.88
2023-01-10,Zona Llanos,3919.23,1034.37,1194.28
2023-01-10,Zona Sur,825.31,2492.37,4061.41
2023-01-10,Zona Oriente,5239.15,283.29,1305.13
2023-01-11,Zona Norte,812.42,2223.35,4308.45
2023-01-11,Zona Occidente,3855.75,164.98,6239.45
2023-01-11,Zona Llanos,2101.62,2151.18,2430.85
2023-01-11,Zona Sur,4519.61,2509.3,1677.6
2023-01-11,Zona Oriente,6627.85,693.37,1636.9
2023-01-12,Zona Norte,270.98,1749.71,456.53
2023-01-12,Zona Occidente,1475.88,5034.27,116.97
2023-01-12,Zona Llanos,11654.59,297.16,10664.47
2023-01-12,Zona Sur,7.08,1399.02,4206.75
2023-01-12,Zona Oriente,1880.42,70.62,1283.63
2023-01-13,Zona Norte,2357.13,563.6,6335.1
2023-01-13,Zona Occidente,6465.05,207.51,3134.89
2023-01-13,Zona Llanos,1276.89,1049.17,1986.28
2023-01-13,Zona Sur,5573.18,1260.22,1363.22
2023-01-13,Zona Oriente,8.2,6199.71,1305.02
2023-01-14,Zona Norte,3939.16,3583.25,2540.75
2023-01-14,Zona Occidente,2245.42,2254.67,11910.13
2023-01-14,Zona Llanos,9637.91,881.93,2603.66
2023-01-14,Zona Sur,3010.62,2285.63,106.74
2023-01-14,Zona Oriente,422.86,461.29,856.84
2023-01-15,Zona Norte,3570.74,300.48,494.34
2023-01-15,Zona Occidente,38.57,1000.21,211.65
2023-01-15,Zona Llanos,1179.57,1014.89,2014.16
2023-01-15,Zona Sur,1998.77,3226.78,7758.87
2023-01-15,Zona Oriente,3922.71,7.71,473.11
2023-01-16,Zona Norte,948.42,1602.31,3938.32
2023-01-16,Zona Occidente,277.63,776.04,289.4
2023-01-16,Zona Llanos,4405.84,2325,1282.7
2023-01-16,Zona Sur,24.93,1132.35,1543.09
2023-01-16,Zona Oriente,5214.47,377.73,2907.57
2023-01-17,Zona Norte,528.68,1042.73,3525.23
2023-01-17,Zona Occidente,630.7,477.82,1025.73
2023-01-17,Zona Llanos,853.54,2635.01,2722.97
2023-01-17,Zona Sur,753.89,20.58,1513.95
2023-01-17,Zona Oriente,7435.37,837.67,2193.54
2023-01-18,Zona Norte,7587.46,2605.32,2256.92
2023-01-18,Zona Occidente,845.73,776.14,406.68
2023-01-18,Zona Llanos,543.66,2056.79,2910.04
2023-01-18,Zona Sur,3870.25,1296.35,1096.52
2023-01-18,Zona Oriente,5479.1,4084.73,12461
2023-01-19,Zona Norte,3023.57,3254.97,3141.78
2023-01-19,Zona Occidente,103.69,3433.86,5888.22
2023-01-19,Zona Llanos,5364.78,1166.81,1921.85
2023-01-19,Zona Sur,4624.83,494.31,1125.78
2023-01-19,Zona Oriente,4664.7,810.23,7362.57
2023-01-20,Zona Norte,532.19,1692.9,3359.94
2023-01-20,Zona Occidente,167.03,2113.61,2580.97
2023-01-20,Zona Llanos,13542.57,3504.91,8945.93
2023-01-20,Zona Sur,1489.08,2814.38,1722.72
2023-01-20,Zona Oriente,2969.25,423.94,2119.12
2023-01-21,Zona Norte,969.04,2974.99,1159.84
2023-01-21,Zona Occidente,6719.69,267.02,554.79
2023-01-21,Zona Llanos,6703.57,5454.27,3296.71
2023-01-21,Zona Sur,1252.89,2555.56,9907.6
2023-01-21,Zona Oriente,4140.99,259.14,4077.39
2023-01-22,Zona Norte,5560.15,3171.31,3120.9
2023-01-22,Zona Occidente,2934.16,1986.22,5596.18
2023-01-22,Zona Llanos,3293.87,2178.68,3447.67
2023-01-22,Zona Sur,5273.3,1170.04,1349.75
2023-01-22,Zona Oriente,930.11,1624.9,4655.2
2023-01-23,Zona Norte,5920.71,669.79,336.53
2023-01-23,Zona Occidente,385.21,1004.64,5215.24
2023-01-23,Zona Llanos,3269.55,1869.36,1808.93
2023-01-23,Zona Sur,2898.48,267.1,2006.35
2023-01-23,Zona Oriente,2140.84,2500.99,6507.01
2023-01-24,Zona Norte,919.33,1305.55,7178.06
2023-01-24,Zona Occidente,2185.16,570.61,508.99
2023-01-24,Zona Llanos,7285.52,3597.6,1823.3
2023-01-24,Zona Sur,5139.59,2656.14,7757.61
2023-01-24,Zona Oriente,2275.69,1231.76,611.26
2023-01-25,Zona Norte,4999.79,1561.51,1394.83
2023-01-25,Zona Occidente,2243.08,1977.69,1409.76
2023-01-25,Zona Llanos,66,502.34,5664.83
2023-01-25,Zona Sur,2025.5,195.76,244.11
2023-01-25,Zona Oriente,1848.37,1126.92,1948.56
2023-01-26,Zona Norte,199.01,822.54,1770.2
2023-01-26,Zona Occidente,10296.49,972.69,242.44
2023-01-26,Zona Llanos,2481.44,1684.29,1953.19
2023-01-26,Zona Sur,1077.62,3248.58,2414.37
2023-01-26,Zona Oriente,2344.65,37.27,11256.82
2023-01-27,Zona Norte,4367.32,1024.51,3696.99
2023-01-27,Zona Occidente,701.8,207.59,4768.97
2023-01-27,Zona Llanos,5973.71,3022.13,564.5
2023-01-27,Zona Sur,162.89,473.75,290.94
2023-01-27,Zona Oriente,227.81,815.07,1819.25
2023-01-28,Zona Norte,5762.28,183.76,1980.76
